epi_week,disease,no_of_cases
2017-W01,Dengue Haemorrhagic Fever,0
2017-W01,Malaria,0
2017-W02,Dengue Fever,90
2017-W02,Dengue Haemorrhagic Fever,1
2017-W02,Malaria,0
2017-W03,Dengue Fever,74
2017-W03,Dengue Haemorrhagic Fever,1
2017-W03,Malaria,1
2017-W04,Dengue Fever,66
2017-W04,Dengue Haemorrhagic Fever,0
2017-W04,Malaria,0
2017-W05,Dengue Fever,62
2017-W05,Dengue Haemorrhagic Fever,0
2017-W05,Malaria,0
2017-W06,Dengue Fever,77
2017-W06,Dengue Haemorrhagic Fever,0
2017-W06,Malaria,1
2017-W07,Dengue Fever,51
2017-W07,Dengue Haemorrhagic Fever,2
2017-W07,Malaria,0
2017-W08,Dengue Fever,54
2017-W08,Dengue Haemorrhagic Fever,0
2017-W08,Malaria,0
2017-W09,Dengue Fever,41
2017-W09,Dengue Haemorrhagic Fever,0
2017-W10,Dengue Fever,32
2017-W10,Dengue Haemorrhagic Fever,0
2017-W10,Malaria,1
2017-W11,Dengue Fever,34
2017-W11,Dengue Haemorrhagic Fever,1
2017-W11,Malaria,1
2017-W12,Dengue Fever,32
2017-W12,Dengue Haemorrhagic Fever,0
2017-W12,Malaria,0
2017-W13,Dengue Fever,49
2017-W13,Dengue Haemorrhagic Fever,1
2017-W13,Malaria,0
2017-W14,Dengue Fever,37
2017-W14,Dengue Haemorrhagic Fever,0
2017-W14,Malaria,1
2017-W15,Dengue Fever,32
2017-W15,Dengue Haemorrhagic Fever,0
2017-W15,Malaria,1
2017-W16,Dengue Fever,51
2017-W16,Dengue Haemorrhagic Fever,0
2017-W16,Malaria,2
2017-W17,Dengue Fever,37
2017-W17,Dengue Haemorrhagic Fever,0
2017-W17,Malaria,0
2017-W18,Dengue Fever,42
2017-W18,Dengue Haemorrhagic Fever,0
2017-W18,Malaria,2
